Distribution,Communication Type,NP,Input World Size,Estimated Computation Time,Estimation Communication Time,Estimated Speedup,Actual Time,Actual Speedup,Efficiency
Block,async-overlapped,9,900,0.0015588,0.000023175964,0.0015588,0.001571201347,8.826374123,0.9807082359
Block,async-overlapped,25,900,0.000561168,0.000021395644,0.000561168,0.0005913935863,23.44971477,0.9379885908
,,,,,,,,,
Serial,none,1,2700,0.1262628,0,0.1262628,0.1250137977,-,-
Row,async-overlapped,9,2700,0.0140292,0.0000293986,0.0140292,0.0242733031,5.150258997,0.5722509997
Row,async-overlapped,25,2700,0.005050512,0.0000293986,0.005050512,0.005188824963,24.09289166,0.9637156665
Block,async-overlapped,9,2700,0.0140292,0.000032077564,0.0140292,0.01761688865,7.096247252,0.7884719168
Block,async-overlapped,25,2700,0.005050512,0.000026736604,0.005050512,0.005009631401,24.95468981,0.9981875926
,,,,,,,,,
Serial,none,1,5400,0.5050512,0,0.5050512,0.5004488457,-,-
Row,async-overlapped,9,5400,0.0561168,0.0000494272,0.0561168,0.05779953519,8.658354156,0.9620393506
Row,async-overlapped,25,5400,0.020202048,0.0000494272,0.020202048,0.01989232658,25.15788406,1.006315362
Block,async-overlapped,9,5400,0.0561168,0.000045429964,0.0561168,0.05599607686,8.937212637,0.9930236263
Block,async-overlapped,25,5400,0.020202048,0.000034748044,0.020202048,0.01996542648,25.06577289,1.002630916
,,,,,,,,,
Serial,none,1,9000,1.40292,0,1.40292,1.40637909,-,-
Row,async-overlapped,9,9000,0.15588,0.000076132,0.15588,0.1608501652,8.743410915,0.9714901016
Row,async-overlapped,25,9000,0.0561168,0.000076132,0.0561168,0.05804391553,24.22956958,0.9691827832
Block,async-overlapped,9,9000,0.15588,0.000063233164,0.15588,0.1607492257,8.748901177,0.9721001308
Block,async-overlapped,25,9000,0.0561168,0.000045429964,0.0561168,0.056245958,25.00409167,1.000163667
,,,,,,,,,
Serial,none,1,12600,2.7497232,0,2.7497232,2.722661213,-,-
Row,async-overlapped,9,12600,0.3055248,0.0001028368,0.3055248,0.3061578983,8.89299681,0.9881107567
Row,async-overlapped,25,12600,0.109988928,0.0001028368,0.109988928,0.1106437369,24.60745895,0.9842983579
Block,async-overlapped,9,12600,0.3055248,0.000081036364,0.3055248,0.3156058796,8.626775954,0.9585306616
Block,async-overlapped,25,12600,0.109988928,0.000056111884,0.109988928,0.1089494404,24.99013491,0.9996053964
,,,,,,,,,
ta,0.00000001732,,,,,,,,
ts,0.000004685,,,,,,,,
tc,0.000000003709,,,,,,,,
